type,identifier,url,issue_count,issues,meta_title,meta_description,canonical_url,noindex,generated_at
GoldenVisaLandingPage,singleton,/greece-golden-visa/,5,Meta title too short or too long; Missing meta description; Missing OG image; Missing focus keyword; Thin content under 600 words,,,,no,2026-05-27T13:17:14.967906+00:00
GoldenVisaFaLandingPage,singleton,/fa/greece-golden-visa/,5,Missing meta title; Missing meta description; Missing OG image; Missing focus keyword; Thin content under 600 words,,,,no,2026-05-27T13:17:14.967906+00:00
StaticPage,events,/events/,4,Missing meta title; Missing meta description; Missing OG image; Missing focus keyword,,,/events/,no,2026-05-27T13:17:14.967906+00:00
WebinarLandingSettings,singleton,/webinar/,3,Meta description too short or too long; Missing OG image; Missing focus keyword,وبینار تخصصی اقامت و سرمایه‌گذاری اروپا,وبینار تخصصی اقامت دائم اروپا و سرمایه‌گذاری در یونان ویژه ایرانیان مقیم امارات و ترکیه — ظرفیت محدود.,,no,2026-05-27T13:17:14.967906+00:00
Property,8,/properties/peristeri-project/,3,Meta title too short or too long; Missing focus keyword; Thin content under 600 words,PERISTERI PROJECT,"Located in Peristeri, one of the largest and most vibrant districts of Athens, this fully renovated property offers an excellent opportunity for both real estat",/properties/peristeri-project/,no,2026-05-27T13:17:14.967906+00:00
Property,6,/properties/elite-project/,3,Meta title too short or too long; Missing focus keyword; Thin content under 600 words,ELITE Luxury Residential,"
ELITE &ndash; Invest Smart. Live Premium. Secure Europe
A Golden Opportunity in South Athens

ELITE is an exclusive 22-unit luxury residential project located ",/properties/elite-project/,no,2026-05-27T13:17:14.967906+00:00
Property,5,/properties/artemis-project/,3,Meta title too short or too long; Missing focus keyword; Thin content under 600 words,Artemis Residential Project,A modern and luxury residential project in one of the calmest and most accessible areas of South Athens. 3 floors with 9 one-bedroom apartments (42-50 sqm). Onl,/properties/artemis-project/,no,2026-05-27T13:17:14.967906+00:00
Property,4,/properties/lotus-project/,3,Meta title too short or too long; Missing focus keyword; Thin content under 600 words,Lotus Project,"LOTUS Luxury Project &ndash; Located in the prestigious Voula Panorama area, South Athens
Unobstructed sea view &ndash; Modern design &ndash; A golden opportuni",/properties/lotus-project/,no,2026-05-27T13:17:14.967906+00:00
Property,3,/properties/onyx-project/,3,Meta title too short or too long; Missing focus keyword; Thin content under 600 words,Onyx Residential Project,"&nbsp;
Onyx Residential Project &ndash; Alimos, The Heart of South Athens

This unique residential project is located in the prime area of Alimos, just 200 mete",/properties/onyx-project/,no,2026-05-27T13:17:14.967906+00:00
Property,1,/properties/noble-project/,3,Meta title too short or too long; Missing focus keyword; Thin content under 600 words,Noble Residential Project,"&nbsp;The Noble Alimos residential project is located on one of the most prestigious and prime streets of Alimos,
a well-known, upscale seaside neighborhood in",/properties/noble-project/,no,2026-05-27T13:17:14.967906+00:00
Brochure,adonis-residential,/brochures/adonis-residential/,3,Missing meta description; Missing focus keyword; Thin content under 600 words,ADONIS Residential Projects brochure,,/brochures/adonis-residential/,no,2026-05-27T13:17:14.967906+00:00
BlogPost,greek-cuisine-mediterranean-flavors-guide,/blog/greek-cuisine-mediterranean-flavors-guide/,3,Meta title too short or too long; Missing focus keyword; No internal links,A Culinary Journey Through Greece: Discover the Flavors That Make Mediterranean Life Irresistible,Discover the rich flavors of Greek cuisine—from traditional moussaka to fresh seafood. Learn why the Mediterranean diet makes Greece a food lover's paradise.,/blog/greek-cuisine-mediterranean-flavors-guide/,no,2026-05-27T13:17:14.967906+00:00
BlogPost,greece-rental-market-prices-yields-2026,/blog/greece-rental-market-prices-yields-2026/,3,Meta title too short or too long; Missing focus keyword; No internal links,"Greece Rental Market 2026: Complete Guide to Rental Prices, Yields, and Investment Returns","Complete guide to Greek rental prices in 2026. Learn about yields, taxes, and whether long-term or Airbnb rentals are right for your investment strategy.",/blog/greece-rental-market-prices-yields-2026/,no,2026-05-27T13:17:14.967906+00:00
BlogPost,best-neighborhoods-athens-property-investment-2026,/blog/best-neighborhoods-athens-property-investment-2026/,3,Meta title too short or too long; Missing focus keyword; No internal links,Best Neighborhoods in Athens for Property Investment 2026: Insider Guide to Prime Locations,"Discover the best Athens neighborhoods for property investment in 2026. From luxury Glyfada to emerging Kypseli, find the perfect location for your Golden Visa ",/blog/best-neighborhoods-athens-property-investment-2026/,no,2026-05-27T13:17:14.967906+00:00
StaticPage,partnerships,/partnerships/,2,Missing OG image; Missing focus keyword,Partner With Us — Golden Visa Real Estate Referrals,Join the Adonis Group partner network. Earn competitive commissions by referring clients to Greece Golden Visa real estate investment opportunities.,/partnerships/,no,2026-05-27T13:17:14.967906+00:00
StaticPage,home,/,2,Missing OG image; Missing focus keyword,Greece Golden Visa & Property Investment,"Discover how to obtain the Greece Golden Visa through property investment. Learn about requirements, benefits, and available real estate opportunities.",/,no,2026-05-27T13:17:14.967906+00:00
StaticPage,contact,/contact/,2,Missing OG image; Missing focus keyword,Contact Us — Free Golden Visa Consultation,Get in touch with Adonis Group for a free Golden Visa consultation. Offices in Athens. Multilingual team ready to assist you.,/contact/,no,2026-05-27T13:17:14.967906+00:00
StaticPage,blog,/blog/,2,Missing OG image; Missing focus keyword,Golden Visa & Greece Real Estate Insights,"Expert articles on Greece Golden Visa requirements, real estate market updates, investment tips, and residency guides from the Adonis Group team.",/blog/,no,2026-05-27T13:17:14.967906+00:00
StaticPage,about,/about/,2,Missing OG image; Missing focus keyword,About Us — Greek Golden Visa Experts,"Learn about Adonis Group — our mission, team, and track record helping international investors obtain Greek Golden Visa residency permits.",/about/,no,2026-05-27T13:17:14.967906+00:00
Property,7,/properties/ermis-residential-project/,2,Missing focus keyword; Thin content under 600 words,ERMIS Residential Project | Golden Visa Property in Athens,"Explore ERMIS Residential Project in Piraeus, Athens — a renovated boutique building with exclusive apartments. Golden Visa eligible from €250,000.",/properties/ermis-residential-project/,no,2026-05-27T13:17:14.967906+00:00
BlogPost,greek-golden-visa-2026-complete-guide,/blog/greek-golden-visa-2026-complete-guide/,2,Missing focus keyword; No internal links,"Greece Golden Visa 2026, Guide to Residency by Investment","Discover everything about the Greece Golden Visa 2026. Learn investment requirements, benefits, family inclusion, and how to obtain residency through property i",/blog/greek-golden-visa-2026-complete-guide/,no,2026-05-27T13:17:14.967906+00:00
BlogPost,golden-visa-investment-zones-2026,/blog/golden-visa-investment-zones-2026/,1,No internal links,Greece Golden Visa Investment Zones 2026  Best Areas to Buy,"Discover the best Golden Visa investment zones in Greece for 2026. Learn where to buy property, investment thresholds, and top real estate opportunities.",/blog/golden-visa-investment-zones-2026/,no,2026-05-27T13:17:14.967906+00:00
BlogPost,golden-visa-family-benefits-2026,/blog/golden-visa-family-benefits-2026/,1,No internal links,Greece Golden Visa Benefits 2026 Residency for 3 Generations,"Discover how the Greece Golden Visa allows investors to include spouses, children under 21, and parents in one residency application through real estate investm",/blog/golden-visa-family-benefits-2026/,no,2026-05-27T13:17:14.967906+00:00
